participation_id,user_id,activity_id,approval_status,points_earned,completion_date
99,29,23,Rejected,50,2026-10-02
100,15,10,Rejected,40,2026-11-03
101,44,8,Approved,100,2026-12-22
102,52,7,Approved,0,2026-12-08
103,42,5,Approved,30,2026-08-02
104,11,10,Rejected,100,2026-12-10
105,29,4,Approved,100,2026-10-23
106,26,9,Rejected,75,2026-11-15
107,6,20,Pending,50,2026-10-20
108,17,1,Pending,30,2026-12-19
109,2,25,Rejected,40,2026-12-02
110,49,25,Pending,50,2026-12-21
111,29,9,Pending,75,2026-11-21
112,53,16,Pending,50,2026-10-14
113,22,11,Rejected,0,2026-09-11
114,27,23,Approved,40,2026-11-27
115,49,18,Pending,50,2026-08-11
116,17,11,Pending,50,2026-12-27
117,1,22,Rejected,50,2026-11-02
118,13,17,Approved,75,2026-11-21
119,29,25,Pending,30,2026-10-18
120,9,10,Approved,100,2026-11-04
121,2,21,Rejected,30,2026-09-10
122,36,1,Rejected,50,2026-08-08
123,54,4,Approved,0,2026-09-16
124,60,23,Approved,75,2026-10-14
125,54,16,Approved,30,2026-11-18
126,10,13,Pending,75,2026-12-24
127,57,5,Pending,40,2026-11-11
128,60,17,Approved,0,2026-10-24
129,20,19,Rejected,100,2026-11-28
130,10,15,Rejected,50,2026-10-11
131,36,25,Rejected,50,2026-11-11
132,56,7,Rejected,30,2026-12-13
133,15,25,Approved,0,2026-10-24
134,31,23,Approved,50,2026-09-16
135,3,5,Rejected,75,2026-10-28
136,7,15,Pending,75,2026-11-01
137,47,5,Approved,100,2026-09-03
138,31,9,Approved,75,2026-11-21
139,6,11,Rejected,75,2026-11-11
140,41,23,Approved,75,2026-08-20
141,5,8,Rejected,100,2026-10-08
142,48,3,Approved,0,2026-08-15
143,11,23,Approved,0,2026-08-11
144,51,2,Approved,40,2026-10-14
145,10,8,Rejected,50,2026-12-22
146,51,6,Pending,30,2026-08-20
147,56,13,Rejected,100,2026-09-16
148,59,19,Pending,30,2026-11-21
149,17,15,Approved,100,2026-08-26
150,30,10,Rejected,75,2026-09-03
151,29,12,Rejected,40,2026-11-23
152,17,15,Approved,30,2026-11-28
153,31,4,Pending,50,2026-12-12
154,37,10,Rejected,40,2026-08-27
155,43,13,Approved,0,2026-12-28
156,44,25,Rejected,0,2026-12-24
157,32,10,Pending,75,2026-10-08
158,41,7,Rejected,40,2026-09-21
159,7,21,Rejected,0,2026-10-26
160,29,2,Rejected,40,2026-09-03
161,59,10,Approved,100,2026-11-06
162,13,5,Rejected,40,2026-12-17
163,59,9,Pending,40,2026-11-26
164,19,24,Approved,0,2026-11-03
165,10,25,Pending,100,2026-11-28
166,52,18,Approved,0,2026-11-01
167,17,18,Pending,50,2026-10-22
168,48,22,Approved,75,2026-11-27
169,41,12,Pending,100,2026-09-16
170,2,20,Rejected,40,2026-12-08
171,42,3,Rejected,50,2026-10-21
172,27,4,Pending,0,2026-08-10
173,32,4,Pending,30,2026-12-05
174,25,15,Approved,100,2026-12-14
175,38,24,Rejected,30,2026-11-21
176,7,16,Rejected,50,2026-10-02
177,45,12,Pending,50,2026-11-08
178,55,12,Pending,100,2026-10-18
179,58,21,Approved,0,2026-11-09
180,13,4,Approved,0,2026-09-21
